sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:original_source_concept_id,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1569,Bisacodyl,-1,,1569,1.00,APPROVED,EQUAL,jaye,1758627236905,924939,bisacodyl,Drug,MAPS_TO,,<auto>,1758626701685,
1435,Valacyclovir,-1,,1435,1.00,APPROVED,EQUAL,jaye,1758627236905,1717704,valacyclovir,Drug,MAPS_TO,,<auto>,1758626701759,
1309,Ethamsylate,-1,,1309,1.00,APPROVED,EQUAL,jaye,1758627236905,19049350,ethamsylate,Drug,MAPS_TO,,<auto>,1758626701772,
266,Mobile money,-1,,266,0.72,UNCHECKED,UNREVIEWED,,0,42072943,Mobile,Geography,MAPS_TO,,<auto>,1758626701845,
1664,Propafenone,-1,,1664,1.00,APPROVED,EQUAL,jaye,1758627236905,1353256,propafenone,Drug,MAPS_TO,,<auto>,1758626701857,
1665,Glycerin,-1,,1665,1.00,APPROVED,EQUAL,jaye,1758627236905,961145,glycerin,Drug,MAPS_TO,,<auto>,1758626702246,
1310,Ethionamide,-1,,1310,1.00,APPROVED,EQUAL,jaye,1758627236905,1750074,ethionamide,Drug,MAPS_TO,,<auto>,1758626702508,
1517,Amino Acids and Vitamins,-1,,1517,0.65,UNCHECKED,UNREVIEWED,,0,3022455,Amino acids [Identifier] in Urine,Measurement,MAPS_TO,,<auto>,1758626702514,
1572,Latanoprost,-1,,1572,1.00,APPROVED,EQUAL,jaye,1758627236905,954688,latanoprost,Drug,MAPS_TO,,<auto>,1758626702590,
267,Credit card,-1,,267,1.00,APPROVED,EQUAL,jaye,1758627236905,1989734,Credit card,Meas Value,MAPS_TO,,<auto>,1758626702606,
1666,Bupivacaine,-1,,1666,1.00,APPROVED,EQUAL,jaye,1758627236905,732893,bupivacaine,Drug,MAPS_TO,,<auto>,1758626702760,
1735,Polyarthropathy (disorder),-1,,1735,1.00,APPROVED,EQUAL,jaye,1758627236905,75897,Polyarthropathy,Condition,MAPS_TO,,<auto>,1758626702770,
268,Cash,-1,,268,1.00,APPROVED,EQUAL,jaye,1758627236905,42062866,Cash,Geography,MAPS_TO,,<auto>,1758626702842,
1437,Amoxicillin & Clauvulanate,-1,,1437,0.49,UNCHECKED,UNREVIEWED,,0,40105046,amoxicillin / clavulanate Oral Tablet,Drug,MAPS_TO,,<auto>,1758626702951,
1158,Review of systems (procedure),-1,,1158,1.00,APPROVED,EQUAL,jaye,1758627236905,4187458,Review of systems,Procedure,MAPS_TO,,<auto>,1758626702998,
1573,Trobramycin,-1,,1573,0.87,UNCHECKED,UNREVIEWED,,0,902722,tobramycin,Drug,MAPS_TO,,<auto>,1758626703086,
651,Patient unavailable (finding),-1,,651,1.00,APPROVED,EQUAL,jaye,1758627236905,4136469,Patient unavailable,Observation,MAPS_TO,,<auto>,1758626703209,
1438,Cefuroxime,-1,,1438,1.00,APPROVED,EQUAL,jaye,1758627236905,1778162,cefuroxime,Drug,MAPS_TO,,<auto>,1758626703329,
1312,Finasteride,-1,,1312,1.00,APPROVED,EQUAL,jaye,1758627236905,996416,finasteride,Drug,MAPS_TO,,<auto>,1758626703346,
910,Diagnosis (observable entity),-1,,910,1.00,APPROVED,EQUAL,jaye,1758627236905,4234469,Diagnosis,Observation,MAPS_TO,,<auto>,1758626703351,
325,Medical or surgical floor (environment),-1,,325,0.60,UNCHECKED,UNREVIEWED,,0,4174431,Environmental event,Observation,MAPS_TO,,<auto>,1758626703426,
