source_concept_id,original_source_concept_id,type,Reference FSN,Mapping relationship,Reference code system,Reference code,source_concept_name,CIEL concept_id
1,1,Misc,Yes (qualifier value),SAME-AS,SNOMED-CT,373066001,True,1065
2,2,Misc,No (qualifier value),SAME-AS,SNOMED-CT,373067005,False,1066
5,5,Drug,Tetracycline,SAME-AS,RxNORM,10395,Tetracycline,84893
6,6,Drug,Oxycodone,SAME-AS,RxNORM,7804,Oxycodone,81332
7,7,Drug,Ondansetron,SAME-AS,RxNORM,26225,Ondansetron,81073
8,8,Drug,Metronidazole,SAME-AS,RxNORM,6922,Metronidazole,79782
9,9,Drug,Metformin,SAME-AS,RxNORM,6809,Metformin,79651
10,10,Drug,Lisinopril,SAME-AS,RxNORM,29046,Lisinopril,78945
11,11,Drug,Levothyroxine sodium,SAME-AS,RxNORM,40144,Levothyroxine sodium,78809
12,12,Drug,Hydrochlorothiazide,SAME-AS,RxNORM,5487,Hydrochlorothiazide,77696
13,13,Drug,Famotidine,SAME-AS,RxNORM,4278,Famotidine,76178
14,14,Drug,Esomeprazole,SAME-AS,RxNORM,283742,Esomeprazole,75875
15,15,Drug,Ceftriaxone,SAME-AS,RxNORM,2193,Ceftriaxone,73041
16,16,Drug,Bismuth subsalicylate,SAME-AS,RxNORM,19478,Bismuth subsalicylate,72241
17,17,Drug,Azithromycin,SAME-AS,RxNORM,18631,Azithromycin,71780
18,18,Drug,Amlodipine,SAME-AS,RxNORM,17767,Amlodipine,71137
19,19,Drug,Acetaminophen,SAME-AS,RxNORM,161,Acetaminophen,70116
20,20,Drug,Acetaminophen / oxycodone,SAME-AS,RxNORM,214183,Acetaminophen / oxycodone,103281
21,21,Finding,Low (qualifier value),SAME-AS,SNOMED-CT,62482003,Low,1407
22,22,Misc,Not detected (qualifier value),NARROWER-THAN,SNOMED-CT,260415000,Beyond detectable limit,1306
23,23,Test,Human immunodeficiency virus viral load (procedure),NARROWER-THAN,SNOMED-CT,315124004,"HIV viral load, qualitative",1305
24,24,Misc,Not detected (qualifier value),SAME-AS,SNOMED-CT,260415000,Not detected,1302
25,25,Misc,Detected (qualifier value),SAME-AS,SNOMED-CT,260373001,Detected,1301
26,26,LabSet,"Electrolytes measurement, serum (procedure)",SAME-AS,SNOMED-CT,20109005,Serum electrolytes,5473
27,27,Test,Cryptococcus sp Ag [Presence] in Serum,SAME-AS,LOINC,31790-9,"Cryptococcal antigen, serum, coded",169216
29,29,Misc,Medium (qualifier value),SAME-AS,SNOMED-CT,255508009,Medium,164944
30,30,Misc,Very low (qualifier value),SAME-AS,SNOMED-CT,260362008,Very low,164943
32,32,Question,Drug observable (observable entity),NARROWER-THAN,SNOMED-CT,373064003,Mycobacterium tuberculosis rifampin resistance detection status,164937
33,33,Misc,Finding of presence of bacteria (finding),NARROWER-THAN,SNOMED-CT,365691004,Mycobacterium tuberculosis detected with indeterminate rifampin resistance,164104
34,34,LabSet,Toxoplasma gondii IgG and IgM panel - Serum,BROADER-THAN,LOINC,57770-0,Toxoplasma Gondii IgG And IgM Panel - Serum,163625
36,36,Misc,Finding of presence of bacteria (finding),NARROWER-THAN,SNOMED-CT,365691004,Mycobacterium tuberculosis detected without rifampin resistance,162204
37.1,37,Misc,Rifampicin resistant tuberculosis (disorder),NARROWER-THAN,SNOMED-CT,415345001,Mycobacterium tuberculosis detected with rifampin resistance,162203
37.2,37,Misc,Finding of presence of bacteria (finding),NARROWER-THAN,SNOMED-CT,365691004,Mycobacterium tuberculosis detected with rifampin resistance,162203
38,38,Test,Polymerase chain reaction analysis (procedure),NARROWER-THAN,SNOMED-CT,9718006,Tuberculosis polymerase chain reaction with rifampin resistance checking,162202
